region,timestamp,temperature_c,precipitation_mm,humidity_pct,co2_ppm
Peshawar,2023-03-30T16:00:00Z,24.26,8.39,49.92,416.39
Karachi,2023-03-30T18:00:00Z,33.61,0,66.24,402.08
Lahore,2023-03-30T20:00:00Z,17.57,0,68.59,413.82
Islamabad,2023-03-30T22:00:00Z,27.64,3.85,43.5,407.91
Quetta,2023-03-31T00:00:00Z,35.59,1.38,40.87,434.06
Peshawar,2023-03-31T02:00:00Z,26.02,5.6,79.38,427.22
Karachi,2023-03-31T04:00:00Z,34.24,5.74,64.13,426.78
Lahore,2023-03-31T06:00:00Z,35.06,6.63,63.97,411.99
Islamabad,2023-03-31T08:00:00Z,7.17,1.85,63.39,423.28
Quetta,2023-03-31T10:00:00Z,16.73,9.68,68.92,400.52
Peshawar,2023-03-31T12:00:00Z,41.74,7.44,66.55,414.05
Karachi,2023-03-31T14:00:00Z,32.13,0.24,68.34,409.88
Lahore,2023-03-31T16:00:00Z,26.25,0,84.26,416.48
Islamabad,2023-03-31T18:00:00Z,37.6,0,33.21,413.58
Quetta,2023-03-31T20:00:00Z,38.09,3.18,85.48,415.05
Peshawar,2023-03-31T22:00:00Z,35.87,0,59.7,415.51
Karachi,2023-04-01T00:00:00Z,15.48,10.31,71.46,404.32
Lahore,2023-04-01T02:00:00Z,20.77,6.78,40.01,404.41
Islamabad,2023-04-01T04:00:00Z,37.79,0.5,57.32,402.94
Quetta,2023-04-01T06:00:00Z,13.42,0.85,45.1,409.26
Peshawar,2023-04-01T08:00:00Z,18.16,8.85,89.98,420.51
Karachi,2023-04-01T10:00:00Z,31.4,2.45,54.73,413.45
Lahore,2023-04-01T12:00:00Z,26.23,1.02,73.22,377.39
Islamabad,2023-04-01T14:00:00Z,21.27,0,89.84,407.7
Quetta,2023-04-01T16:00:00Z,40.5,3.97,79.05,435.01
Peshawar,2023-04-01T18:00:00Z,26.13,3.21,60.74,413.04
Karachi,2023-04-01T20:00:00Z,27.94,6.95,86.27,436.75
Lahore,2023-04-01T22:00:00Z,21.8,10.82,32.56,422.35
Islamabad,2023-04-02T00:00:00Z,20.73,5.98,35.96,426.38
Quetta,2023-04-02T02:00:00Z,16.22,2.58,30.09,378.69
Peshawar,2023-04-02T04:00:00Z,32.82,9.11,30.78,406.74
Karachi,2023-04-02T06:00:00Z,35.5,0.9,80.16,401.17
Lahore,2023-04-02T08:00:00Z,40.54,11.68,33.45,423.72
Islamabad,2023-04-02T10:00:00Z,34.05,0,55.69,439.92
Quetta,2023-04-02T12:00:00Z,24.7,9.75,36.58,436.14
Peshawar,2023-04-02T14:00:00Z,31.18,4.38,38.04,394.12
Karachi,2023-04-02T16:00:00Z,21.41,0,66.66,405.57
Lahore,2023-04-02T18:00:00Z,25.0,4.3,58.22,405.83
Islamabad,2023-04-02T20:00:00Z,33.07,0,44.21,424.54
Quetta,2023-04-02T22:00:00Z,33.1,0,36.61,431.06
Peshawar,2023-04-03T00:00:00Z,24.15,12.96,46.75,419.58
Karachi,2023-04-03T02:00:00Z,46.51,7.11,34.96,390.27
Lahore,2023-04-03T04:00:00Z,32.62,2.95,76.35,412.82
Islamabad,2023-04-03T06:00:00Z,17.72,9.11,54.34,407.9
Quetta,2023-04-03T08:00:00Z,29.49,2.73,41.88,411.68
Peshawar,2023-04-03T10:00:00Z,16.62,6.4,40.11,417.68
Karachi,2023-04-03T12:00:00Z,35.62,4.61,76.14,431.33
Lahore,2023-04-03T14:00:00Z,29.61,0,36.52,414.32
Islamabad,2023-04-03T16:00:00Z,15.6,7.56,70.24,390.45
Quetta,2023-04-03T18:00:00Z,31.33,0,87.99,400.49
Peshawar,2023-04-03T20:00:00Z,27.23,0,76.13,415.12
Karachi,2023-04-03T22:00:00Z,24.5,9.46,45.66,419.92
Lahore,2023-04-04T00:00:00Z,13.61,2.87,85.6,392.68
Islamabad,2023-04-04T02:00:00Z,33.06,2.82,50.11,414.9
Quetta,2023-04-04T04:00:00Z,33.24,3.93,84.33,408.32
Peshawar,2023-04-04T06:00:00Z,17.17,5.54,60.77,427.54
Karachi,2023-04-04T08:00:00Z,41.39,5.64,58.39,398.04
Lahore,2023-04-04T10:00:00Z,25.32,7.36,64.0,389.12
Islamabad,2023-04-04T12:00:00Z,37.33,0,88.21,391.68
Quetta,2023-04-04T14:00:00Z,22.08,3.02,43.06,421.87
Peshawar,2023-04-04T16:00:00Z,36.73,14.99,38.65,404.55
Karachi,2023-04-04T18:00:00Z,23.28,0.4,68.02,404.11
Lahore,2023-04-04T20:00:00Z,26.08,0,40.52,404.04
Islamabad,2023-04-04T22:00:00Z,36.79,1.89,80.61,399.19
Quetta,2023-04-05T00:00:00Z,30.57,1.8,58.96,435.61
Peshawar,2023-04-05T02:00:00Z,23.09,0.49,74.2,409.27
Karachi,2023-04-05T04:00:00Z,26.93,0,61.46,411.06
Lahore,2023-04-05T06:00:00Z,31.64,0,78.2,406.8
Islamabad,2023-04-05T08:00:00Z,27.26,3.64,80.06,393.96
Quetta,2023-04-05T10:00:00Z,36.76,0.62,80.09,415.24
Peshawar,2023-04-05T12:00:00Z,21.72,7.02,71.19,412.9
Karachi,2023-04-05T14:00:00Z,44.55,8.14,61.09,405.77
Lahore,2023-04-05T16:00:00Z,22.95,6.47,32.37,396.67
Islamabad,2023-04-05T18:00:00Z,43.31,6.79,49.77,403.21
Quetta,2023-04-05T20:00:00Z,29.57,0,35.02,411.81
Peshawar,2023-04-05T22:00:00Z,42.48,0,57.22,409.88
Karachi,2023-04-06T00:00:00Z,21.15,4.23,61.86,420.91
Lahore,2023-04-06T02:00:00Z,28.09,0,66.16,401.12
Islamabad,2023-04-06T04:00:00Z,33.36,8.09,64.69,433.16
Quetta,2023-04-06T06:00:00Z,35.59,0,58.73,418.44
Peshawar,2023-04-06T08:00:00Z,25.36,0,79.79,436.47
Karachi,2023-04-06T10:00:00Z,24.31,0,46.64,388.66
Lahore,2023-04-06T12:00:00Z,37.88,0,79.0,415.17
Islamabad,2023-04-06T14:00:00Z,27.42,4.38,78.62,432.95
Quetta,2023-04-06T16:00:00Z,30.52,0,33.98,409.61
Peshawar,2023-04-06T18:00:00Z,35.54,0,43.44,415.39
Karachi,2023-04-06T20:00:00Z,35.14,9.45,66.27,371.17
Lahore,2023-04-06T22:00:00Z,32.81,0,69.53,434.87
Islamabad,2023-04-07T00:00:00Z,13.73,1.84,52.02,410.78
Quetta,2023-04-07T02:00:00Z,34.61,3.34,55.62,395.51
Peshawar,2023-04-07T04:00:00Z,26.56,0,80.74,427.52
Karachi,2023-04-07T06:00:00Z,34.02,1.96,81.06,416.03
Lahore,2023-04-07T08:00:00Z,22.49,2.67,86.11,420.09
Islamabad,2023-04-07T10:00:00Z,22.08,0,38.53,394.06
Quetta,2023-04-07T12:00:00Z,22.62,4.23,53.41,405.95
Peshawar,2023-04-07T14:00:00Z,28.54,1.71,86.68,412.61
Karachi,2023-04-07T16:00:00Z,36.1,9.36,55.1,441.78
Lahore,2023-04-07T18:00:00Z,36.26,1.7,75.24,402.84
Islamabad,2023-04-07T20:00:00Z,32.95,11.35,40.37,414.34
Quetta,2023-04-07T22:00:00Z,20.66,9.23,62.18,400.77
Peshawar,2023-04-08T00:00:00Z,17.24,0,77.96,402.01
Karachi,2023-04-08T02:00:00Z,33.75,4.46,41.42,426.14
Lahore,2023-04-08T04:00:00Z,33.83,0,78.95,415.6
Islamabad,2023-04-08T06:00:00Z,42.25,0,40.44,419.96
Quetta,2023-04-08T08:00:00Z,39.98,5.48,76.81,446.58
Peshawar,2023-04-08T10:00:00Z,17.25,0,33.72,404.11
Karachi,2023-04-08T12:00:00Z,45.02,3.17,44.5,401.32
Lahore,2023-04-08T14:00:00Z,28.78,0.89,57.41,401.74
Islamabad,2023-04-08T16:00:00Z,32.09,7.6,50.56,407.67
Quetta,2023-04-08T18:00:00Z,26.58,0.11,33.14,400.71
Peshawar,2023-04-08T20:00:00Z,25.79,9.5,49.51,421.77
Karachi,2023-04-08T22:00:00Z,20.2,1.1,78.66,426.49
Lahore,2023-04-09T00:00:00Z,30.1,4.23,30.81,402.96
Islamabad,2023-04-09T02:00:00Z,25.17,3.87,81.96,404.89
Quetta,2023-04-09T04:00:00Z,35.49,0,63.15,415.83
Peshawar,2023-04-09T06:00:00Z,39.48,0,86.1,420.46
Karachi,2023-04-09T08:00:00Z,14.28,0,35.06,416.69
Lahore,2023-04-09T10:00:00Z,24.93,1.43,33.58,405.06
Islamabad,2023-04-09T12:00:00Z,35.97,7.24,64.02,423.09
Quetta,2023-04-09T14:00:00Z,28.22,3.65,82.57,431.37
Peshawar,2023-04-09T16:00:00Z,16.63,0,47.88,443.49
Karachi,2023-04-09T18:00:00Z,38.08,0,54.65,423.7
Lahore,2023-04-09T20:00:00Z,32.71,5.96,32.08,393.72
Islamabad,2023-04-09T22:00:00Z,36.21,8.63,35.17,395.58
Quetta,2023-04-10T00:00:00Z,32.06,6.11,50.28,407.83
Peshawar,2023-04-10T02:00:00Z,24.16,3.56,64.75,428.32
Karachi,2023-04-10T04:00:00Z,37.75,10.62,46.75,433.87
Lahore,2023-04-10T06:00:00Z,24.22,0,79.03,382.18
Islamabad,2023-04-10T08:00:00Z,48.51,3.98,38.07,395.25
Quetta,2023-04-10T10:00:00Z,29.76,0,36.21,416.54
Peshawar,2023-04-10T12:00:00Z,37.67,0,82.15,406.24
Karachi,2023-04-10T14:00:00Z,32.31,10.79,36.79,375.62
Lahore,2023-04-10T16:00:00Z,28.58,2.58,52.82,368.4
Islamabad,2023-04-10T18:00:00Z,36.8,0,43.66,426.65
Quetta,2023-04-10T20:00:00Z,30.64,0,66.33,413.33
Peshawar,2023-04-10T22:00:00Z,24.74,0,67.25,407.96
Karachi,2023-04-11T00:00:00Z,27.9,0,78.93,403.76
Lahore,2023-04-11T02:00:00Z,38.35,4.01,73.42,419.77
Islamabad,2023-04-11T04:00:00Z,22.45,0.74,44.91,406.11
Quetta,2023-04-11T06:00:00Z,29.91,3.6,89.05,427.67
Peshawar,2023-04-11T08:00:00Z,27.37,1.56,49.68,408.02
Karachi,2023-04-11T10:00:00Z,26.06,3.93,78.8,407.49
Lahore,2023-04-11T12:00:00Z,32.35,0,67.22,417.82
Islamabad,2023-04-11T14:00:00Z,20.82,2.23,82.46,409.84
Quetta,2023-04-11T16:00:00Z,33.24,11.39,53.17,413.13
Peshawar,2023-04-11T18:00:00Z,28.41,11.49,83.87,418.08
Karachi,2023-04-11T20:00:00Z,26.2,0,69.63,389.82
Lahore,2023-04-11T22:00:00Z,22.47,1.03,71.45,426.47
Islamabad,2023-04-12T00:00:00Z,41.85,0.01,60.26,420.47
Quetta,2023-04-12T02:00:00Z,24.42,1.12,40.52,397.75
Peshawar,2023-04-12T04:00:00Z,24.92,5.75,63.08,440.52
Karachi,2023-04-12T06:00:00Z,29.35,0,72.21,396.17
Lahore,2023-04-12T08:00:00Z,26.71,0,73.7,385.78
Islamabad,2023-04-12T10:00:00Z,14.71,0,57.9,426.18
Quetta,2023-04-12T12:00:00Z,15.79,0,46.26,422.3
Peshawar,2023-04-12T14:00:00Z,29.4,0,47.62,410.98
Karachi,2023-04-12T16:00:00Z,20.53,0,71.01,419.83
Lahore,2023-04-12T18:00:00Z,40.46,0,56.65,405.15
Islamabad,2023-04-12T20:00:00Z,21.63,5.53,61.12,396.58
Quetta,2023-04-12T22:00:00Z,17.67,3.13,61.46,397.3
Peshawar,2023-04-13T00:00:00Z,17.51,0,42.17,401.46
Karachi,2023-04-13T02:00:00Z,40.64,2.39,86.47,399.22
Lahore,2023-04-13T04:00:00Z,30.05,3.06,76.17,424.36
Islamabad,2023-04-13T06:00:00Z,27.09,0,85.23,387.41
Quetta,2023-04-13T08:00:00Z,24.83,0,49.74,408.95
Peshawar,2023-04-13T10:00:00Z,34.4,0,61.9,400.88
Karachi,2023-04-13T12:00:00Z,23.33,4.29,63.28,377.29
Lahore,2023-04-13T14:00:00Z,26.52,1.9,78.5,383.27
Islamabad,2023-04-13T16:00:00Z,37.56,1.31,43.74,384.63
Quetta,2023-04-13T18:00:00Z,38.64,5.65,31.74,417.22
Peshawar,2023-04-13T20:00:00Z,22.72,4.74,83.43,412.06
Karachi,2023-04-13T22:00:00Z,39.46,0,32.21,424.76
Lahore,2023-04-14T00:00:00Z,30.33,7.27,59.98,389.26
Islamabad,2023-04-14T02:00:00Z,25.11,0,75.94,424.95
Quetta,2023-04-14T04:00:00Z,33.96,7.4,59.7,401.64
Peshawar,2023-04-14T06:00:00Z,32.01,0,88.31,416.62
Karachi,2023-04-14T08:00:00Z,30.76,10.27,73.15,419.38
Lahore,2023-04-14T10:00:00Z,21.5,1.84,73.14,418.06
Islamabad,2023-04-14T12:00:00Z,23.22,0,65.89,416.15
Quetta,2023-04-14T14:00:00Z,37.29,2.4,56.2,419.73
Peshawar,2023-04-14T16:00:00Z,32.76,4.9,42.83,385.08
Karachi,2023-04-14T18:00:00Z,28.61,4.92,62.93,403.43
Lahore,2023-04-14T20:00:00Z,19.33,0,81.13,431.46
Islamabad,2023-04-14T22:00:00Z,23.39,0,57.56,405.27
Quetta,2023-04-15T00:00:00Z,27.74,4.18,32.0,381.07
Peshawar,2023-04-15T02:00:00Z,24.95,0,69.22,406.37
Karachi,2023-04-15T04:00:00Z,41.89,11.36,79.9,410.31
Lahore,2023-04-15T06:00:00Z,40.56,3.76,30.32,422.94
Islamabad,2023-04-15T08:00:00Z,18.05,0,47.39,406.72
Quetta,2023-04-15T10:00:00Z,19.43,0.27,69.02,425.87
Peshawar,2023-04-15T12:00:00Z,43.59,0,53.46,399.93
Karachi,2023-04-15T14:00:00Z,17.18,9.39,76.01,406.96
Lahore,2023-04-15T16:00:00Z,32.39,1.56,42.71,407.34
Islamabad,2023-04-15T18:00:00Z,39.34,0,38.07,420.55
Quetta,2023-04-15T20:00:00Z,25.7,0,84.97,418.73
Peshawar,2023-04-15T22:00:00Z,21.12,8.9,39.91,402.15
Karachi,2023-04-16T00:00:00Z,26.67,2.36,61.81,410.63
Lahore,2023-04-16T02:00:00Z,40.64,0,49.41,385.94
Islamabad,2023-04-16T04:00:00Z,29.61,13.9,84.48,405.67
Quetta,2023-04-16T06:00:00Z,38.26,0.66,47.67,412.4
Peshawar,2023-04-16T08:00:00Z,19.24,4.38,46.76,422.15
Karachi,2023-04-16T10:00:00Z,10.66,0,48.06,365.69
Lahore,2023-04-16T12:00:00Z,29.84,7.45,38.43,422.25
Islamabad,2023-04-16T14:00:00Z,20.3,5.38,76.73,389.93
Quetta,2023-04-16T16:00:00Z,21.74,3.32,40.2,396.12
Peshawar,2023-04-16T18:00:00Z,15.75,0.96,46.77,429.39
Karachi,2023-04-16T20:00:00Z,36.3,4.45,30.32,413.5
Lahore,2023-04-16T22:00:00Z,26.1,5.14,54.08,404.89
Islamabad,2023-04-17T00:00:00Z,20.45,2.27,64.43,398.86
Quetta,2023-04-17T02:00:00Z,26.34,6.87,48.3,409.65
Peshawar,2023-04-17T04:00:00Z,31.37,0,33.26,405.62
Karachi,2023-04-17T06:00:00Z,25.58,0,68.28,403.73
Lahore,2023-04-17T08:00:00Z,35.84,3.7,67.0,414.11
Islamabad,2023-04-17T10:00:00Z,28.12,6.15,30.5,416.12
Quetta,2023-04-17T12:00:00Z,28.57,0,34.47,397.1
Peshawar,2023-04-17T14:00:00Z,19.72,0,39.87,420.89
Karachi,2023-04-17T16:00:00Z,24.24,8.91,50.46,406.33
Lahore,2023-04-17T18:00:00Z,27.24,0.48,56.2,404.07
Islamabad,2023-04-17T20:00:00Z,35.27,0.94,46.57,412.54
Quetta,2023-04-17T22:00:00Z,18.34,0,62.84,397.72
Peshawar,2023-04-18T00:00:00Z,31.34,6.45,55.36,398.77
Karachi,2023-04-18T02:00:00Z,39.62,0,88.0,399.59
Lahore,2023-04-18T04:00:00Z,20.22,5.52,42.77,424.62
Islamabad,2023-04-18T06:00:00Z,16.99,0,67.45,415.0
Quetta,2023-04-18T08:00:00Z,23.55,2.48,63.95,403.57
Peshawar,2023-04-18T10:00:00Z,29.9,0,32.17,407.97
Karachi,2023-04-18T12:00:00Z,30.12,1.83,43.8,426.83
Lahore,2023-04-18T14:00:00Z,19.96,4.19,35.45,415.74
Islamabad,2023-04-18T16:00:00Z,18.05,2.2,66.07,418.83
Quetta,2023-04-18T18:00:00Z,39.21,0,65.6,415.93
Peshawar,2023-04-18T20:00:00Z,39.06,2.74,79.36,418.87
Karachi,2023-04-18T22:00:00Z,29.83,2.84,83.44,422.98
Lahore,2023-04-19T00:00:00Z,32.96,0,63.25,407.26
Islamabad,2023-04-19T02:00:00Z,27.37,0,40.72,417.65
Quetta,2023-04-19T04:00:00Z,23.67,3.16,35.17,400.38
Peshawar,2023-04-19T06:00:00Z,31.33,0,34.09,412.53
Karachi,2023-04-19T08:00:00Z,20.7,1.96,49.4,418.12
Lahore,2023-04-19T10:00:00Z,29.91,1.1,88.65,397.57
Islamabad,2023-04-19T12:00:00Z,26.76,1.02,37.54,379.65
Quetta,2023-04-19T14:00:00Z,13.72,1.46,71.74,404.98
Peshawar,2023-04-19T16:00:00Z,28.47,10.44,53.22,399.48
Karachi,2023-04-19T18:00:00Z,30.85,5.79,61.91,436.64
Lahore,2023-04-19T20:00:00Z,28.95,0,34.46,415.28
Islamabad,2023-04-19T22:00:00Z,29.63,3.41,67.46,381.06
Quetta,2023-04-20T00:00:00Z,33.64,0,53.39,427.08
Peshawar,2023-04-20T02:00:00Z,32.01,0,53.4,416.93
Karachi,2023-04-20T04:00:00Z,19.85,9.01,83.52,407.91
Lahore,2023-04-20T06:00:00Z,23.86,3.26,43.92,397.86
Islamabad,2023-04-20T08:00:00Z,20.48,0,39.52,407.09
Quetta,2023-04-20T10:00:00Z,31.16,5.58,75.25,407.8
Peshawar,2023-04-20T12:00:00Z,27.12,5.25,88.01,420.95
Karachi,2023-04-20T14:00:00Z,22.66,0.44,78.1,429.64
Lahore,2023-04-20T16:00:00Z,30.07,2.15,52.41,427.38
Islamabad,2023-04-20T18:00:00Z,32.65,4.86,35.78,396.61
Quetta,2023-04-20T20:00:00Z,27.3,2.12,44.84,406.25
Peshawar,2023-04-20T22:00:00Z,30.15,0.82,81.23,386.1
Karachi,2023-04-21T00:00:00Z,32.39,0,61.24,423.91
Lahore,2023-04-21T02:00:00Z,28.27,0,32.15,401.57
Islamabad,2023-04-21T04:00:00Z,25.2,1.19,45.92,395.57
Quetta,2023-04-21T06:00:00Z,19.54,2.24,67.79,415.72
Peshawar,2023-04-21T08:00:00Z,22.37,0,87.02,377.99
Karachi,2023-04-21T10:00:00Z,30.47,0,61.8,412.97
Lahore,2023-04-21T12:00:00Z,27.76,0,77.71,389.07
Islamabad,2023-04-21T14:00:00Z,43.29,4.29,45.48,412.6
Quetta,2023-04-21T16:00:00Z,28.76,5.95,76.85,392.77
Peshawar,2023-04-21T18:00:00Z,29.22,0,67.66,425.03
Karachi,2023-04-21T20:00:00Z,16.63,4.49,49.23,413.22
Lahore,2023-04-21T22:00:00Z,28.17,1.17,83.34,409.27
Islamabad,2023-04-22T00:00:00Z,21.58,1.29,86.45,397.28
Quetta,2023-04-22T02:00:00Z,39.41,4.24,78.14,393.33
Peshawar,2023-04-22T04:00:00Z,26.55,0.42,80.15,410.67
Karachi,2023-04-22T06:00:00Z,38.78,4.95,52.55,408.31
Lahore,2023-04-22T08:00:00Z,16.14,3.5,86.2,410.16
Islamabad,2023-04-22T10:00:00Z,21.18,9.77,44.0,400.09
Quetta,2023-04-22T12:00:00Z,26.04,1.18,43.71,450.29
Peshawar,2023-04-22T14:00:00Z,36.04,0,75.01,430.76
Karachi,2023-04-22T16:00:00Z,27.21,2.81,85.63,409.02
Lahore,2023-04-22T18:00:00Z,17.29,1.32,46.8,405.51
Islamabad,2023-04-22T20:00:00Z,33.72,0,73.48,423.2
Quetta,2023-04-22T22:00:00Z,28.96,5.82,67.31,433.64
Peshawar,2023-04-23T00:00:00Z,21.21,5.74,61.71,414.84
Karachi,2023-04-23T02:00:00Z,22.97,3.2,83.04,392.02
Lahore,2023-04-23T04:00:00Z,32.57,0,31.86,432.2
Islamabad,2023-04-23T06:00:00Z,19.03,0,62.87,389.65
Quetta,2023-04-23T08:00:00Z,26.02,8.15,42.02,407.75
Peshawar,2023-04-23T10:00:00Z,34.26,0.29,67.91,416.46
Karachi,2023-04-23T12:00:00Z,19.62,0,83.33,412.77
Lahore,2023-04-23T14:00:00Z,30.7,0.72,35.31,408.73
Islamabad,2023-04-23T16:00:00Z,26.78,5.32,55.64,427.22
Quetta,2023-04-23T18:00:00Z,33.16,2.28,52.28,424.53
Peshawar,2023-04-23T20:00:00Z,25.91,0,60.65,403.27
Karachi,2023-04-23T22:00:00Z,29.25,10.56,41.69,419.07
Lahore,2023-04-24T00:00:00Z,34.64,5.53,84.85,415.87
Islamabad,2023-04-24T02:00:00Z,38.37,3.5,34.52,425.27
Quetta,2023-04-24T04:00:00Z,22.24,3.66,41.74,405.87
Peshawar,2023-04-24T06:00:00Z,22.24,1.61,74.58,420.9
Karachi,2023-04-24T08:00:00Z,32.94,7.21,41.96,397.69
Lahore,2023-04-24T10:00:00Z,23.64,0,41.65,397.92
Islamabad,2023-04-24T12:00:00Z,44.54,5.42,71.91,416.35
Quetta,2023-04-24T14:00:00Z,29.41,2.16,55.76,395.84
Peshawar,2023-04-24T16:00:00Z,21.98,0,64.37,423.94
Karachi,2023-04-24T18:00:00Z,31.79,1.2,87.14,425.13
Lahore,2023-04-24T20:00:00Z,48.88,0.74,50.15,393.88
Islamabad,2023-04-24T22:00:00Z,32.7,0,84.04,401.56
Quetta,2023-04-25T00:00:00Z,32.9,4.55,40.26,429.01
Peshawar,2023-04-25T02:00:00Z,39.24,0,57.27,409.1
Karachi,2023-04-25T04:00:00Z,19.33,0,61.49,412.8
Lahore,2023-04-25T06:00:00Z,37.41,8.12,61.95,427.35
Islamabad,2023-04-25T08:00:00Z,19.88,0,86.37,413.38
Quetta,2023-04-25T10:00:00Z,25.97,3.3,41.02,407.61
Peshawar,2023-04-25T12:00:00Z,25.58,12.93,86.89,395.98
Karachi,2023-04-25T14:00:00Z,34.95,0,51.37,415.59
Lahore,2023-04-25T16:00:00Z,40.64,0,84.14,402.89
Islamabad,2023-04-25T18:00:00Z,18.09,2.07,48.61,412.74
Quetta,2023-04-25T20:00:00Z,21.05,3.29,53.58,400.7
Peshawar,2023-04-25T22:00:00Z,29.64,0,43.44,402.92
Karachi,2023-04-26T00:00:00Z,7.9,3.52,81.69,401.72
Lahore,2023-04-26T02:00:00Z,26.22,0.8,75.35,423.46
Islamabad,2023-04-26T04:00:00Z,48.44,0,36.11,403.39
Quetta,2023-04-26T06:00:00Z,3.52,0,84.62,402.9
Peshawar,2023-04-26T08:00:00Z,39.96,0,43.44,385.51
Karachi,2023-04-26T10:00:00Z,35.56,12.27,77.11,438.87
Lahore,2023-04-26T12:00:00Z,11.9,0,48.69,409.6
Islamabad,2023-04-26T14:00:00Z,46.52,0.11,52.39,414.91
Quetta,2023-04-26T16:00:00Z,20.25,6.61,39.66,413.63
Peshawar,2023-04-26T18:00:00Z,39.9,4.64,72.02,417.1
Karachi,2023-04-26T20:00:00Z,29.37,0,39.09,437.65
Lahore,2023-04-26T22:00:00Z,26.86,0,59.7,397.91
Islamabad,2023-04-27T00:00:00Z,34.79,0,47.99,423.53
Quetta,2023-04-27T02:00:00Z,17.96,0.83,79.24,403.02
Peshawar,2023-04-27T04:00:00Z,30.44,0,53.43,429.46
Karachi,2023-04-27T06:00:00Z,31.96,0.19,87.01,414.87
Lahore,2023-04-27T08:00:00Z,26.08,0.77,65.49,418.23
Islamabad,2023-04-27T10:00:00Z,19.06,5.79,30.84,418.08
Quetta,2023-04-27T12:00:00Z,21.52,16.44,76.61,409.26
Peshawar,2023-04-27T14:00:00Z,18.18,4.72,79.38,401.46
Karachi,2023-04-27T16:00:00Z,28.04,3.01,85.7,408.97
Lahore,2023-04-27T18:00:00Z,9.36,0.57,48.75,391.21
Islamabad,2023-04-27T20:00:00Z,33.12,2.99,75.62,398.14
Quetta,2023-04-27T22:00:00Z,22.42,0,45.52,390.43
Peshawar,2023-04-28T00:00:00Z,37.83,10.33,77.3,418.75
Karachi,2023-04-28T02:00:00Z,24.41,0.8,36.62,414.92
Lahore,2023-04-28T04:00:00Z,25.87,7.78,65.0,436.02
Islamabad,2023-04-28T06:00:00Z,30.04,3.14,38.23,407.68
Quetta,2023-04-28T08:00:00Z,27.71,0.8,88.19,400.5
Peshawar,2023-04-28T10:00:00Z,19.56,1.38,83.17,422.46
Karachi,2023-04-28T12:00:00Z,34.69,0,51.24,406.28
Lahore,2023-04-28T14:00:00Z,38.75,0,44.54,392.69
Islamabad,2023-04-28T16:00:00Z,27.67,0,75.21,389.19
Quetta,2023-04-28T18:00:00Z,18.3,6.47,37.91,410.08
Peshawar,2023-04-28T20:00:00Z,20.03,1.13,80.68,407.98
Karachi,2023-04-28T22:00:00Z,28.29,0,79.12,411.03
Lahore,2023-04-29T00:00:00Z,15.57,5.68,56.33,409.04
Islamabad,2023-04-29T02:00:00Z,31.77,5.42,83.82,413.47
Quetta,2023-04-29T04:00:00Z,30.07,1.63,71.69,408.62
Peshawar,2023-04-29T06:00:00Z,27.37,0,38.86,420.46
Karachi,2023-04-29T08:00:00Z,27.46,6.54,71.76,407.26
Lahore,2023-04-29T10:00:00Z,23.63,8.28,77.63,400.75
Islamabad,2023-04-29T12:00:00Z,19.9,0,64.96,386.44
Quetta,2023-04-29T14:00:00Z,19.64,0,69.38,427.06
Peshawar,2023-04-29T16:00:00Z,26.16,4.4,81.7,406.9
Karachi,2023-04-29T18:00:00Z,34.48,0,58.34,418.39
Lahore,2023-04-29T20:00:00Z,27.85,0.96,34.77,430.29
Islamabad,2023-04-29T22:00:00Z,25.26,0,79.69,374.1
Quetta,2023-04-30T00:00:00Z,36.41,0,44.36,407.5
Peshawar,2023-04-30T02:00:00Z,15.88,4.57,68.14,415.56
Karachi,2023-04-30T04:00:00Z,26.39,0.49,68.59,411.03
Lahore,2023-04-30T06:00:00Z,41.95,0.07,43.16,412.91
Islamabad,2023-04-30T08:00:00Z,26.03,3.68,77.39,409.7
Quetta,2023-04-30T10:00:00Z,21.33,3.18,37.21,427.86
Peshawar,2023-04-30T12:00:00Z,20.79,0.46,77.27,404.95
Karachi,2023-04-30T14:00:00Z,26.94,2.98,42.74,415.34
Lahore,2023-04-30T16:00:00Z,12.77,0,79.28,387.02
Islamabad,2023-04-30T18:00:00Z,20.29,0,88.91,415.39
Quetta,2023-04-30T20:00:00Z,32.55,0,44.77,441.46
Peshawar,2023-04-30T22:00:00Z,41.37,2.42,71.74,437.38
Karachi,2023-05-01T00:00:00Z,38.91,2.69,70.79,424.13
Lahore,2023-05-01T02:00:00Z,31.44,2.91,49.28,411.96
Islamabad,2023-05-01T04:00:00Z,18.88,4.5,87.43,396.58
Quetta,2023-05-01T06:00:00Z,29.41,3.99,68.58,398.5
Peshawar,2023-05-01T08:00:00Z,23.7,13.62,34.08,423.42
Karachi,2023-05-01T10:00:00Z,40.34,0.78,43.78,376.65
Lahore,2023-05-01T12:00:00Z,26.75,0,76.96,402.38
Islamabad,2023-05-01T14:00:00Z,30.47,0,81.69,442.47
Quetta,2023-05-01T16:00:00Z,27.5,0,65.0,418.15
Peshawar,2023-05-01T18:00:00Z,27.63,5.36,52.41,414.18
Karachi,2023-05-01T20:00:00Z,34.4,0,59.18,413.26
Lahore,2023-05-01T22:00:00Z,29.58,0,43.13,453.41
Islamabad,2023-05-02T00:00:00Z,30.42,1.15,37.63,415.03
Quetta,2023-05-02T02:00:00Z,24.12,2.96,58.28,388.63
Peshawar,2023-05-02T04:00:00Z,23.97,6.14,51.76,425.12
